game_id,date_game,official_nba_com_video,challenging_team,initial_call,challenge_outcome,quarter,cl,vs,hs,visit_team,home_team,challenger_pbp_wp,inpred_match_wp,spread_var,inpred_stands,inpred_overturn,score_change_poss,garb,raw_diff,adj_diff
22000002,12/22/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_laclal_1_122220,LAL,Offensive Foul,Challenge Won,2,00:52:00,56,54,LAC,LAL,0.48224,0.435,1.108597701,0.355,0.435,TRUE,FALSE,0.08000000000000002,0.08868781608000004
22000002,12/22/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_laclal_2_122220,LAC,Shooting Foul,Challenge Won,3,04:32:00,77,75,LAC,LAL,0.51937,0.554,0.937490975,0.519,0.588,TRUE,FALSE,0.06899999999999995,0.06468687727499989
22000004,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalphx_1_122320,PHX,Defensive Foul,Challenge Lost,3,01:10:00,67,71,DAL,PHX,0.72251,0.641,1.127160686,0.601,0.677,TRUE,FALSE,0.07600000000000007,0.08566421213600006
22000004,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalphx_2_122320,DAL,Defensive Foul,Challenge Lost,4,11:21:00,71,80,DAL,PHX,0.10838,0.131,0.827328244,0.128,0.155,TRUE,FALSE,0.026999999999999996,0.022337862587999996
22000007,12/25/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bknbos_1_122520,BOS,Defensive Foul,Challenge Lost,4,07:08:00,99,86,BKN,BOS,0.05996,0.022,2.725454545,0.022,0.031,FALSE,FALSE,0.009000000000000001,0.024529090905000002
22000008,12/25/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dallal_1_122520,DAL,Defensive Foul,Challenge Lost,4,03:18:00,107,123,DAL,LAL,0.001,0,1,0,0,TRUE,FALSE,0,0
22000010,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_chacle_1_122320,CHA,Defensive Foul,Challenge Won,4,00:23:00,111,119,CHA,CLE,0.001,0.001,1,0,0.001,TRUE,FALSE,0.001,0.001
22000011,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nykind_1_122320,IND,Defensive Foul,Challenge Lost,1,00:02:00,30,35,NYK,IND,0.69396,0.619,1.121098546,0.546,0.63,TRUE,FALSE,0.08399999999999996,0.09417227786399995
22000012,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_miaorl_1_122320,ORL,Defensive Foul,Challenge Won,4,08:11:00,89,91,MIA,ORL,0.6639,0.629,1.055484897,0.579,0.629,TRUE,FALSE,0.050000000000000044,0.05277424485000004
22000013,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_wasphi_1_122320,WAS,Offensive Foul,Challenge Lost,2,05:57:00,37,44,WAS,PHI,0.21852,0.319,0.685015674,0.319,0.345,FALSE,FALSE,0.025999999999999968,0.017810407523999983
22000014,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_noptor_1_122320,TOR,Defensive Foul,Challenge Lost,4,01:16:00,112,97,NOP,TOR,0.001,0,1,0,0,TRUE,FALSE,0,0
22000015,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlchi_1_122320,ATL,Defensive Foul,Challenge Won,3,10:30:00,86,61,ATL,CHI,0.97779,0.976,1.001834016,0.97,0.98,TRUE,TRUE,0.010000000000000009,0.010018340160000028
22000017,12/23/2020,https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sasmem_1_122320,MEM,Defensive Foul,Challenge Lost,4,01:25:00,125,115,SAS,MEM,0.001,0,1,0,0.002,FALSE,FALSE,0.002,0.002
