official_nba_com_video,date_game,challenging_team,opponent,initial_call,challenge_outcome,quarter,cl,score_margin,challenger_pbp_wp,score_change_poss,raw_diff,adj_diff,garb
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_laclal_1_122220,2020-12-22,LAL,LAC,Offensive Foul,Challenge Won,2,0,-2,0.482,TRUE,0.08,0.089,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_laclal_2_122220,2020-12-22,LAC,LAL,Shooting Foul,Challenge Won,3,04,2,0.519,TRUE,0.069,0.065,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalphx_1_122320,2020-12-23,PHX,DAL,Defensive Foul,Challenge Lost,3,0,4,0.723,TRUE,0.076,0.086,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dalphx_2_122320,2020-12-23,DAL,PHX,Defensive Foul,Challenge Lost,4,11,-9,0.108,TRUE,0.027,0.022,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_bknbos_1_122520,2020-12-25,BOS,BKN,Defensive Foul,Challenge Lost,4,07,-13,0.06,FALSE,0.009,0.025,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_dallal_1_122520,2020-12-25,DAL,LAL,Defensive Foul,Challenge Lost,4,03,-16,0.001,TRUE,0,0,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_chacle_1_122320,2020-12-23,CHA,CLE,Defensive Foul,Challenge Won,4,0,-8,0.001,TRUE,0.001,0.001,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_nykind_1_122320,2020-12-23,IND,NYK,Defensive Foul,Challenge Lost,1,,5,0.694,TRUE,0.084,0.094,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_miaorl_1_122320,2020-12-23,ORL,MIA,Defensive Foul,Challenge Won,4,08,2,0.664,TRUE,0.05,0.053,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_wasphi_1_122320,2020-12-23,WAS,PHI,Offensive Foul,Challenge Lost,2,05,-7,0.219,FALSE,0.026,0.018,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_noptor_1_122320,2020-12-23,TOR,NOP,Defensive Foul,Challenge Lost,4,0,-15,0.001,TRUE,0,0,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_atlchi_1_122320,2020-12-23,ATL,CHI,Defensive Foul,Challenge Won,3,10,25,0.978,TRUE,0.01,0.01,TRUE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sasmem_1_122320,2020-12-23,MEM,SAS,Defensive Foul,Challenge Lost,4,0,-10,0.001,FALSE,0.002,0.002,FALSE
https://dmmx2.nba.com/videourlredirect?&project=/opsrep/trigger16_sacden_1_122320,2020-12-23,DEN,SAC,Offensive Foul,Challenge Lost,4,0,-2,0.266,FALSE,0,0,FALSE
